"","Gene_id","module"
"1","AT1G51140","blue"
"2","AT1G79520","blue"
"3","AT2G19860","blue"
"4","AT2G29970","blue"
"5","AT1G51440","blue"
"6","AT5G03190","blue"
"7","AT5G03240","blue"
"8","AT5G22290","blue"
"9","AT4G30960","blue"
"10","AT1G60590","blue"
"11","AT3G50820","brown"
"12","AT3G46780","brown"
"13","AT1G07320","brown"
"14","AT3G52960","brown"
"15","AT3G61470","brown"
"16","AT5G66570","brown"
"17","AT1G15140","brown"
"18","ATMG01390","brown"
"19","AT2G18020","brown"
"20","AT1G29910","brown"
"21","AT3G24550","turquoise"
"22","AT3G51550","turquoise"
"23","AT1G74380","turquoise"
"24","AT5G24030","turquoise"
"25","AT2G01190","turquoise"
"26","AT1G29690","turquoise"
"27","AT3G57930","turquoise"
"28","AT3G19150","turquoise"
"29","AT4G26690","turquoise"
"30","AT4G37450","turquoise"
"31","AT1G19570","yellow"
"32","AT1G32640","yellow"
"33","AT3G45140","yellow"
"34","AT4G27560","yellow"
"35","AT1G33230","yellow"
"36","AT4G16760","yellow"
"37","AT5G05730","yellow"
"38","AT2G38750","yellow"
"39","AT4G31500","yellow"
"40","AT1G19670","yellow"
